customer_id,mean_amount,std_amount,mean_nb_tx_per_day,network_id,bin,lat_customer,log_customer,available_terminals,nb_terminals
C00001000,73.32230139844185,36.661150699220926,1.5963670657837707,A,375601,39.1764,7.4727,"['T001057', 'T001055', 'T001088']",3
C00001001,52.436549129645684,26.218274564822842,3.8231986223200707,M,557888,40.1618,7.8099,"['T001081', 'T001026', 'T001084', 'T001005', 'T001023', 'T001054', 'T001040', 'T001085', 'T001017']",9
C00001002,42.736666181938695,21.368333090969347,0.31820437883460606,M,520629,41.7134,7.8095,"['T001025', 'T001060', 'T001036', 'T001020', 'T001035', 'T001044']",6
C00001003,88.74506213265562,44.37253106632781,0.145825766394045,V,409102,37.0995,8.241,"['T001031', 'T001046']",2
C00001004,66.2135985543832,33.1067992771916,0.11998466623558457,A,375617,41.9495,8.6954,"['T001091', 'T001014', 'T001071']",3
C00001005,64.63681511594882,32.31840755797441,3.403780807778767,D,364341,39.9729,9.2704,"['T001077', 'T001007', 'T001072', 'T001061', 'T001073']",5
C00001006,13.359184299172584,6.679592149586292,3.268634468467789,V,421802,38.6161,8.6347,"['T001087', 'T001037', 'T001043', 'T001027', 'T001058', 'T001098', 'T001080']",7
C00001007,43.48680137286885,21.743400686434423,2.948533449700961,A,375686,42.146,7.7488,['T001025'],1
C00001008,53.924021607676096,26.962010803838048,3.944328052850312,D,364342,37.8285,9.2481,"['T001002', 'T001086', 'T001047', 'T001038', 'T001048', 'T001018', 'T001097', 'T001096', 'T001039']",9
C00001009,37.74851129958685,18.874255649793426,2.097005500262181,D,361842,38.8674,7.7084,"['T001057', 'T001051', 'T001055', 'T001088', 'T001000']",5
C00001010,76.30979995718518,38.15489997859259,1.6363849761505338,M,520346,38.1599,8.7802,"['T001086', 'T001096', 'T001006', 'T001097', 'T001058', 'T001028', 'T001043']",7
C00001011,22.187119404068493,11.093559702034247,1.1735683771099876,A,375561,37.9778,7.795,"['T001016', 'T001024', 'T001066', 'T001034', 'T001011', 'T001052', 'T001015']",7
